t,distance,lead_angle,light_time,az_error,el_error,total_error,pat_state,cmd_az,cmd_el,actual_az,actual_el
0.0,68899.88357368349,1.7818848182565562e-05,0.0002298332907666185,2.8855423032103644e-05,-1.2941604871658657e-05,3.162468300261358e-05,2,0.7832018881257446,0.004924005909742243,0.7832018881257446,0.004924005909742243
0.05,68899.41615596326,1.781877341508278e-05,0.00022982843210974895,3.260884033884359e-05,-6.26430560507138e-06,3.320508986522882e-05,2,0.7831986506937563,0.004930649717016027,0.7831986506937563,0.004930649717016027
0.1,68898.94864067344,1.7818636340549526e-05,0.0002298231631849738,3.07317460419565e-05,1.0436417816640613e-05,3.2455493088702295e-05,2,0.7831897811941321,0.004947316941433347,0.7831897811941321,0.004947316941433347
0.15000000000000002,68898.48102781748,1.7817315386457794e-05,0.00022982381854352166,-3.6382247173505355e-05,4.679253714872517e-06,3.6681920951910175e-05,2,0.7831156732395166,0.004941526271347108,0.7831156732395166,0.004941526271347108
0.2,68898.01331739893,1.7817477395530323e-05,0.00022982587680685145,-1.7888890932904467e-05,5.448200276990129e-05,5.73437097215456e-05,2,0.783127171078244,0.004991295507415022,0.783127171078244,0.004991295507415022
0.25,68897.54550942125,1.7818499264961785e-05,0.0002298230659127292,4.455630291799739e-05,-2.1914603047232424e-05,4.965394200300829e-05,2,0.7831826191984286,0.0049148653816261266,0.7831826191984286,0.0049148653816261266
0.3,68897.07760388797,1.7817577092688922e-05,0.00022982056543900133,-3.684402651860097e-07,4.678858662979669e-05,4.679003726268018e-05,2,0.7831306958253846,0.0049835350443376975,0.7831306958253846,0.0049835350443376975
0.35,68896.60960080256,1.781821264896164e-05,0.00022981135288249884,4.0337881966667766e-05,-3.0064958012118205e-05,5.0309506276917994e-05,2,0.7831644019615215,0.004906647965741109,0.7831644019615215,0.004906647965741109
0.39999999999999997,68896.14150016855,1.781777025434625e-05,0.000229812588998883,2.2218962653419716e-05,-2.383496998382452e-05,3.258509008003317e-05,2,0.7831392812998385,0.004912844412829979,0.7831392812998385,0.004912844412829979
0.44999999999999996,68895.67330198946,1.7816829350401282e-05,0.00022980835602983028,-2.3429290216925303e-05,-3.023855889227982e-06,2.3623618361879503e-05,3,0.7830866297482829,0.00493362197897784,0.7830866297482829,0.00493362197897784
0.49999999999999994,68895.20500626873,1.781750855095231e-05,0.00022980581446426014,2.0275610932540822e-05,-4.235141540673542e-05,4.695468864385787e-05,3,0.7831070079275904,0.004928353753967261,0.783123329794391,0.004894260864564839
0.5499999999999999,68894.73661300993,1.7816654872685343e-05,0.00022981332726293075,-2.019886562043549e-05,-1.4839736202893784e-05,2.50641565372523e-05,3,0.7830920076151704,0.00493389672656815,0.7829147585379906,0.005258222313139782
0.6,68894.2681222165,1.7816337069597965e-05,0.00022981253400696755,-3.161859303157932e-05,-2.7885621051212256e-05,4.215854939046704e-05,3,0.7830828737947786,0.004931393408816001,0.7836032329826302,0.004221687335195841
0.65,68893.79953389202,1.7815664056110774e-05,0.00022980827076456931,-6.074459101024221e-05,7.47113100187883e-05,9.628959020436785e-05,3,0.7830703427937858,0.004951505662575714,0.7830059867435688,0.004705604706372144
0.7000000000000001,68893.33084803993,1.781587593346915e-05,0.0002298083305122,-4.474240586138656e-05,-5.145925491597224e-06,4.5037355955141375e-05,3,0.7830667558619748,0.00493552636225252,0.7800189889159759,0.009520543773231055
0.7500000000000001,68892.86206466379,1.7817570861632853e-05,0.00022979962519150822,5.885227619661926e-05,-5.05881303789462e-05,7.760637440803698e-05,3,0.7830801678995768,0.004926657272057345,0.7908076580908895,-0.004100961828204212
0.8000000000000002,68892.39318376708,1.7816661104061763e-05,0.00022978832464195056,1.4520634024184353e-05,-6.60922176139167e-06,1.5954015944443377e-05,3,0.7830642147739441,0.004935452503044073,0.7836815430492431,-0.002813562941316076
0.8500000000000002,68891.9242053533,1.7816767037127448e-05,0.00022980886231221365,2.6695896151340825e-05,-3.6443223383614276e-05,4.517498646276703e-05,3,0.7830595005962213,0.004929634315005927,0.7318104343520291,0.08168314037629955
0.9000000000000002,68891.45512942597,1.781639315290766e-05,0.0002298133342574757,1.1270871834279106e-05,-1.3222900999924209e-06,1.1348171791671292e-05,3,0.7830493419296509,0.004936631502301967,0.8049117238116903,0.04124479862184043
0.9500000000000003,68890.98595598862,1.7815707678125838e-05,0.0002297964499899788,-1.9917037603067733e-05,-3.198229500336533e-06,2.0172185276237104e-05,3,0.7830361850688827,0.0049362386877415685,1.0029972488295105,-0.12423054001231931
1.0000000000000002,68890.51668504473,1.781661125298938e-05,0.00022978688466854168,3.769888756111062e-05,-3.889597130516884e-06,3.789901171776101e-05,3,0.7830404993386478,0.0049360862374152655,1.076171576125171,-0.16470469408166696
1.0500000000000003,68890.04731659786,1.781569521470386e-05,0.0002297817177895237,-9.346799018317142e-06,-3.17326191170619e-05,3.3080534577260634e-05,3,0.7830241149576946,0.0049306426643334405,1.0242412402522851,-0.08020599981236513
1.1000000000000003,68889.57785065146,1.781551449410538e-05,0.0002297963836838872,-1.165706949879386e-05,-1.0853583309877735e-06,1.1707487860611033e-05,3,0.7830166876544712,0.0049367439045125095,0.847355638238656,0.1293511847327196
1.1500000000000004,68889.10828720909,1.781579492183554e-05,0.0002297971800467477,1.048632495093127e-05,7.708297999394625e-07,1.051461789876353e-05,3,0.7830140388103782,0.004937077642221147,0.5454944883330737,0.25735664164720257
1.2000000000000004,68888.63862627426,1.781542101721441e-05,0.00022978626942877088,-2.3092163028426427e-06,-5.469397596845858e-05,5.474270259287204e-05,3,0.7830044645999268,0.004926224498198006,0.36859839793486393,0.26030477756080544
1.2500000000000004,68888.16886785046,1.7815059568621108e-05,0.00022979013748471294,-1.749048010990517e-05,2.981580967820717e-05,3.456731695174013e-05,3,0.7829944875943192,0.004942943716593929,0.3166999202571362,0.1383928880588877
1.3000000000000005,68887.69901194121,1.781622490244894e-05,0.00022979878420852675,5.614546920884589e-05,-9.967081390310772e-06,5.70232972049367e-05,3,0.783001904294585,0.004935003307062753,0.38989025823552925,-0.10864329412678467
1.3500000000000005,68887.22905855007,1.7814891305567522e-05,0.00022979365596713134,-1.113411408815157e-05,2.7205078681433528e-05,2.939531939936976e-05,3,0.7829814727291983,0.004942268039978418,0.5879396791242606,-0.4806025212682976
1.4000000000000006,68886.75900768049,1.781551449410538e-05,0.0002297689603752637,2.6618587988580522e-05,9.63781416959443e-07,2.663603013073607e-05,3,0.7829818573002892,0.004936981280923272,0.9110941307412792,-0.7276251618741367
1.4500000000000006,68886.28885933604,1.781462332779374e-05,0.0002297766170882181,-1.4738680305326213e-05,-4.0487346203500404e-05,4.308658607669804e-05,3,0.7829666251065204,0.004928859804463128,1.3591694708307998,-0.8496630123173037
1.5000000000000007,68885.81861352021,1.7814666952357192e-05,0.00022978243935605644,-5.303300482428774e-06,3.627032405234716e-06,6.424979383278362e-06,3,0.782961502708308,0.0049376308503613145,1.6822956020112696,-0.8466152972612359
1.5500000000000007,68885.34827023657,1.7815495798766424e-05,0.00022978474993459657,4.708679707965402e-05,-3.3062859529330024e-05,5.753537294114572e-05,3,0.782964707745947,0.004930424484661079,1.8804646863522698,-0.7186483864826608
1.6000000000000008,68884.87782948859,1.781425563079978e-05,0.00022977820270591475,-1.532117687841339e-05,-2.16688823227321e-05,2.6538253937590555e-05,3,0.7829452636519023,0.004932777915904011,1.9535189710645007,-0.4656333918419436
1.6500000000000008,68884.40729127981,1.7814517381980604e-05,0.00022977479594102164,6.39504947941294e-06,3.5002798409595505e-05,3.5582194344178966e-05,3,0.7829425342594989,0.004943903522467383,1.901657378419757,-0.08757311950468163
1.7000000000000008,68883.93665561374,1.7814062431032643e-05,0.0002297813618343736,-1.2441602021073805e-05,-2.575647762528572e-05,2.860401371333456e-05,3,0.7829317869174507,0.004931846727040362,1.7247552313398247,0.4153697218687959
1.7500000000000009,68883.46592249391,1.781432418505221e-05,0.00022977366105638003,8.212946739027949e-06,-4.3790957550382884e-05,4.4554466188223435e-05,3,0.7829288329853393,0.004928425056289871,1.4228925739027813,0.7933552880314382
1.800000000000001,68882.99509192388,1.781462332779374e-05,0.0002297736090979617,3.080716941539219e-05,2.6336602021952323e-05,4.053021457445518e-05,3,0.7829261524594856,0.004942285148646345,0.996031854582242,1.0464290162265832
1.850000000000001,68882.5241639071,1.781371341969024e-05,0.00022978143808198519,-9.919790867396472e-06,5.8785997922271294e-05,5.9617076434274825e-05,3,0.7829110097743887,0.004948447354325773,0.44410781252129056,1.1744650662510934
1.900000000000001,68882.05313844715,1.781374458169525e-05,0.0002297786974643028,-3.0669336139599324e-06,-1.2207583683091633e-05,1.2586944870464889e-05,3,0.7829053472310189,0.0049342759253723015,0.01723134872038168,1.1773976732910578
1.950000000000001,68881.58201554755,1.7813277145896165e-05,0.00022976496362975713,-2.3792615272300033e-05,4.165717525640884e-06,2.415453878671908e-05,3,0.7828942710507405,0.004937495999548452,-0.28467269517697347,1.0554176472069092
2.000000000000001,68881.1107952118,1.781433041724389e-05,0.00022977108848544362,4.377571870495256e-05,3.722959705705544e-05,5.7466133027774236e-05,3,0.7829005142743443,0.004943888863001204,-0.4614884466162682,0.8084543116940931
2.0500000000000007,68880.63947744347,1.7813520214042454e-05,0.00022976088579152717,2.402235875886838e-06,9.013347872960029e-06,9.327978188353084e-06,3,0.7828851744443847,0.004938166774957449,-0.5134131414299854,0.436429696045562
2.1000000000000005,68880.16806224607,1.781295304987497e-05,0.0002297674810875343,-2.04855417518246e-05,-2.1681822395347092e-05,2.982882571019388e-05,3,0.7828736446366966,0.004932102371566859,-0.44031935209615813,-0.06059739853103464
2.1500000000000004,68879.69654962313,1.7812928119167554e-05,0.00022976803348975135,-1.52433461262369e-05,-2.1320008281128407e-05,2.6208822068754737e-05,3,0.7828677130549835,0.004932247549018874,-0.2421974343467751,-0.6825934361302121
2.2,68879.22493957815,1.7812529223103446e-05,0.00022975397997370144,-3.218920977898776e-05,5.045208032395526e-06,3.258219376109947e-05,3,0.7828574270329945,0.0049374615738567995,0.0809022937855911,-1.1795634703341624
2.25,68878.75323211473,1.781289695573422e-05,0.00022975470811307044,-4.39671642071815e-06,-8.776220825876084e-06,9.815964917864862e-06,3,0.7828559481621615,0.004934707369782669,0.5290467587171889,-1.5515736911903066
2.3,68878.28142723633,1.7813364401509774e-05,0.00022975415612720506,2.6933289513531022e-05,-1.1962527432398881e-05,2.947039440846654e-05,3,0.7828550185859944,0.004934096114742009,1.1021947596035429,-1.7985732769311489
2.3499999999999996,68877.80952494653,1.781271620674574e-05,0.00022977011078620756,-1.5423580037587925e-06,7.0167078558029325e-06,7.184222807335905e-06,3,0.7828422686995133,0.004937823064917859,1.6593007179944461,-1.9205506971370825
2.3999999999999995,68877.33752524882,1.781237340190214e-05,0.00022975778658039273,-1.3087443566983659e-05,-1.9359110283728373e-05,2.3367848212801698e-05,3,0.7828329610929488,0.0049326108765173375,2.0914236053894015,-1.9175734724034255
2.4499999999999993,68876.86542814679,1.7813102633386704e-05,0.00022975595497163391,3.420603852521964e-05,8.09623345570526e-08,3.420613434003362e-05,3,0.7828351831745624,0.004936464658928238,2.3986053297940697,-1.7895504317859876
2.499999999999999,68876.39323364395,1.7813189889855142e-05,0.0002297574227519898,4.651993766080498e-05,7.740311604652675e-06,4.715948498130893e-05,3,0.7828303462121056,0.004937923992950579,2.5807520730577984,-1.5365391718988703
2.549999999999999,68875.92094174383,1.7811612974882105e-05,0.00022975045033206648,-3.6078270566064496e-05,-1.3378540264599205e-05,3.8478915611665276e-05,3,0.7828069382611929,0.004933733274009257,2.6378039026561395,-1.1585566902198878
2.5999999999999988,68875.44855244995,1.7812105386247256e-05,0.00022975189367949983,-6.30911175969473e-07,-1.6768689675635516e-05,1.6780554292088457e-05,3,0.7828069606289412,0.004933105239356534,2.5699737762640327,-0.6555564798453971
2.6499999999999986,68874.97606576588,1.7812398333385948e-05,0.0002297423105296593,2.2058781693701235e-05,3.633624361111705e-05,4.250779280998736e-05,3,0.782804316456815,0.0049435106895772225,2.3771308906472988,-0.027499774395208246
2.6999999999999984,68874.50348169514,1.7812117852181093e-05,0.0002297522768203383,1.3145581696627495e-05,-3.820232186964832e-05,4.0400788536548624e-05,3,0.7827953947139685,0.004928760125876573,2.0592564005795513,0.7254292875492179
2.7499999999999982,68874.03080024128,1.7811320014826425e-05,0.00022974614104745168,-2.6897764333733143e-05,-1.985012556250925e-05,3.3429286725870024e-05,3,0.7827804456004572,0.004932495946615298,1.6163507788075826,1.3534512402484953
2.799999999999998,68873.55802140782,1.7811799968142933e-05,0.00022974541701528955,7.722854899472331e-06,5.140665770519276e-06,9.277334334952704e-06,3,0.7827802546186738,0.004937434525402725,1.0485198194426484,1.8564798315357987
2.849999999999998,68873.08514519833,1.7810534608773944e-05,0.00022974577193531082,-5.675331621890489e-05,2.325467518606711e-05,6.133285269618965e-05,3,0.7827605651014058,0.0049409071707777665,0.35558976172909285,2.2345015460342026
2.8999999999999977,68872.61217161633,1.7811787501986618e-05,0.00022974283787532114,2.1147928471521027e-05,2.756582331347318e-05,3.474348131068893e-05,3,0.7827689600027651,0.004941597681177208,-0.21219792012696492,2.4875094576643413
2.9499999999999975,68872.13910066537,1.7810833815163494e-05,0.00022974307672697124,-2.4741973299158282e-05,8.720452932747987e-06,2.6233786270543073e-05,3,0.7827528245659893,0.004937751107767586,-0.6551093946878355,2.6154942127690126
2.9999999999999973,68871.66593234899,1.7811818667361044e-05,0.00022973740714883677,3.531446873572541e-05,-2.8346329128551076e-06,3.542805167994945e-05,3,0.7827575765573717,0.004935420359698788,-0.9729149244632931,2.6184862581512234
3.049999999999997,68871.19266667076,1.7811930862257473e-05,0.00022974081990082077,4.947369628283127e-05,-4.031891888932326e-05,6.382211093570676e-05,3,0.7827530767512852,0.004928091186083314,-1.165766353011672,2.496452374326353
3.099999999999997,68870.71930363416,1.7811625441160565e-05,0.00022973852048675567,3.752849797933333e-05,-6.370483337151973e-05,7.393709458369269e-05,3,0.7827434142275451,0.004923698609352624,-1.2336438875443767,2.2494325888659903
3.149999999999997,68870.2458432428,1.781156934283877e-05,0.0002297248808638236,4.2796417458967895e-05,1.2064197976066962e-05,4.446434774207298e-05,3,0.7827371664292493,0.0049387581696356255,-1.1765042105178132,1.8775119583444622
