acquisition_time_s,first_track_time_s,tracking_rms_urad,tracking_max_urad,tracking_mean_urad,availability_pct,mean_distance_km,mean_lead_angle_urad,mean_light_time_ms,run
0.0,0.05,17.493323023357643,18.12133760117171,17.492611101664895,99.99166666666667,12743.866073328192,23.020263761458008,42.50852459952926,0
0.0,0.05,15.218724566308182,15.741629284212861,15.218035939502743,99.99166666666667,13704.685282803131,24.755965574643454,45.714127218593866,1
0.0,0.05,17.086882564454047,21.68379068380663,17.043511843456862,99.99166666666667,1650.0490199559422,3.0164785600729522,5.504108893486001,2
0.0,0.05,15.53766937926918,17.0231011570324,15.53462272677084,99.99166666666667,6413.8409700029015,11.586194652306975,21.394749543259003,3
0.0,0.05,16.772923985433906,17.46993225860874,16.772297234336676,99.99166666666667,13628.585328036295,24.618552977683663,45.45982051660676,4
0.0,0.05,22.723708917397676,69.68741000919778,20.553709854123344,99.99166666666667,170.11854673499482,5.782679440602856,0.5674683058818722,5
0.0,0.05,18.44870814637105,19.312094620452626,18.44702759937832,99.99166666666667,7991.220644276472,14.435586515359045,26.655291921174467,6
0.0,0.05,14.555701879419713,15.388982591745503,14.554450465503225,99.99166666666667,10553.90860202774,19.064386880584216,35.204630372493504,7
0.0,0.05,17.729763761735303,18.382042492026017,17.72899443197668,99.99166666666667,12205.754427465963,22.04839768899978,40.713516667709136,8
0.0,0.05,15.07913633371209,15.69284717570118,15.078405481381056,99.99166666666667,13488.98063961731,24.366376132585295,44.99468720785877,9
0.0,0.05,14.70053195320044,15.524471411030836,14.6991635930293,99.99166666666667,9946.205342065969,17.967014320445518,33.17755648844944,10
0.0,0.05,14.764385912523162,15.350091109048268,14.763569910939824,99.99166666666667,12835.127525997392,23.185119847834745,42.8138007797653,11
0.0,0.05,18.023626547713814,18.666534211948246,18.022763036646808,99.99166666666667,11373.634607474307,20.545186794241623,37.93780709970169,12
0.0,0.05,19.354510990425577,38.840404751426654,18.67813900176526,99.99166666666667,382.5589196457737,3.1953881432521096,1.2760471909772042,13
0.0,0.05,16.3161451879112,16.835674569006652,16.315513092728853,99.99166666666667,13890.924244025553,25.092399620712143,46.33502289553188,14
0.0,0.05,15.75406332164373,17.134650811243766,15.74958011184576,99.99166666666667,5296.638933357676,9.567951024698162,17.668097806170728,15
0.0,0.05,18.325472212871304,19.533757098014824,18.322135309615692,99.99166666666667,5756.8186119573975,10.399723796151944,19.20223893663378,16
0.0,0.05,14.562088194123739,15.200630638240861,14.561086907864063,99.99166666666667,11706.301755383443,21.14624373037701,39.048555486471756,17
0.0,0.05,14.542205400401714,15.198600047374601,14.541212606127552,99.99166666666667,11758.756116093966,21.24103118295083,39.22352116462075,18
0.0,0.05,15.96286748669454,16.53611338828138,15.962220376523817,99.99166666666667,13953.432061450198,25.205344245729382,46.543616060655225,19
0.0,0.05,15.26038217528647,16.3323660473692,15.25805917083292,99.99166666666667,7548.660060493734,13.636224387458903,25.18015356011274,20
0.0,0.05,18.434577070172228,19.387504503468907,18.432493773025847,99.99166666666667,7270.991113474369,13.134713699500793,24.25289380355872,21
0.0,0.05,18.42165879890952,19.563090930340106,18.4194957605463,99.99166666666667,6961.086282789161,12.575534736010383,23.219177093374327,22
0.0,0.05,17.820896895046754,21.032444014937905,17.79907741482867,99.99166666666667,2254.238206609472,4.074958387879371,7.5191422842839915,23
0.0,0.05,16.519185951607863,18.82527452740035,16.507994193352538,99.99166666666667,3290.0352835573503,5.952381651054724,10.974645207449228,24
0.0,0.05,18.416927168616475,19.559645847344918,18.414524444157646,99.99166666666667,6707.127035920077,12.115658998337919,22.372072924883625,25
0.0,0.05,18.310011037130142,19.04634224362219,18.30895405360976,99.99166666666667,10063.95539551134,18.17963700473533,33.569155408018744,26
0.0,0.05,17.318911885287676,17.91360060650558,17.318237235356232,99.99166666666667,13025.410563560668,23.52884558595359,43.44769963090533,27
0.0,0.05,16.796127742077438,22.68281266047669,16.742448531278285,99.99166666666667,1484.0276098555073,2.7931268595348833,4.9503074045625475,28
0.0,0.05,15.459565609536812,16.017341274917463,15.458881563486287,99.99166666666667,13829.727142417938,24.98179841719522,46.131160514285945,29
0.0,0.05,15.146029911174299,16.16053430781831,15.144020276918802,99.99166666666667,7994.231510996125,14.440809573541923,26.666437020286075,30
0.0,0.05,15.317438618565857,16.54622147697567,15.314684446845598,99.99166666666667,6927.847716682483,12.515597268116458,23.109318256322197,31
0.0,0.05,15.032728579757967,15.706841781627434,15.032008599014743,99.99166666666667,13436.106457987575,24.270707429849264,44.818332510445195,32
0.0,0.05,15.84742951508919,17.333234130277432,15.843037263450924,99.99166666666667,5368.643647156463,9.7004399502213,17.90828435000989,33
0.0,0.05,18.33082400154256,19.761704018821266,18.32729963957346,99.99166666666667,5583.7515556151175,10.088081075907223,18.624960141445857,34
0.0,0.05,15.926936199118819,17.319521643522698,15.922367090599028,99.99166666666667,5194.091091033748,9.384980407896116,17.326028337577434,35
